CPC4	title
A01B	SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL 
A01C	PLANTING; SOWING; FERTILISING 
A01D	HARVESTING; MOWING 
A01F	PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE 
A01G	HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING 
A01H	NEW PLANTS OR PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES
A01J	MANUFACTURE OF DAIRY PRODUCTS 
A01K	ANIMAL HUSBANDRY; CARE OF BIRDS, FISHES, INSECTS; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS
A01L	SHOEING OF ANIMALS 
A01M	CATCHING OR TRAPPING OF ANIMALS ; APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS 
A01N	PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF; BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES, AS HERBICIDES ; PEST REPELLANTS OR ATTRACTANTS ; PLANT GROWTH REGULATORS 
A21B	MACHINES OR EQUIPMENT FOR BAKING 
A21C	MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH
A21D	TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS; PRESERVATION THEREOF
A22B	SLAUGHTERING
A22C	PROCESSING MEAT, POULTRY, OR FISH 
A23B	CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS 
A23C	DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE; MILK OR CHEESE SUBSTITUTES; MAKING THEREOF 
A23D	EDIBLE OILS OF FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS 
A23F	COFFEE; TEA; THEIR SUBSTITUTES; MANUFACTURE, PREPARATION, OR INFUSION THEREOF 
A23G	COCOA; COCOA PRODUCTS, e.g. CHOCOLATE; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS; CONFECTIONERY; CHEWING GUM; ICE-CREAM; PREPARATION THEREOF
A23J	PROTEIN COMPOSITIONS FOR FOODSTUFFS; WORKING-UP PROTEINS FOR FOODSTUFFS; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS 
A23K	FODDER
A23L	FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B - A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT ; PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL
A23N	MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR; PEELING VEGETABLES OR FRUIT IN BULK; APPARATUS FOR PREPARING ANIMAL FEEDING- STUFFS 
A23P	SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS 
A23V	INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES
A23Y	INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION
A24B	MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF
A24C	MACHINES FOR MAKING CIGARS OR CIGARETTES
A24D	CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES
A24F	MATCH BOXES 
A41B	SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS
A41C	CORSETS; BRASSIERES
A41D	OUTERWEAR; ACCESSORIES 
A41F	GARMENT FASTENINGS; SUSPENDERS
A41G	ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS
A41H	APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR 
A42B	HATS; HEAD COVERINGS 
A42C	MANUFACTURING OR TRIMMING HATS OR OTHER HEAD COVERINGS
A43B	CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR
A43C	FASTENINGS OR ATTACHMENTS OF FOOTWEAR; LACES IN GENERAL
A43D	MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR
A44B	BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE 
A44C	JEWELLERY; BRACELETS; OTHER PERSONAL ADORNMENTS; COINS 
A44D	INDEXING SCHEME RELATING TO BUTTONS, PINS, BUCKLES OR SLIDE FASTENERS, AND TO JEWELLERY, BRACELETS OR OTHER PERSONAL ADORNMENTS
A45B	WALKING STICKS ; UMBRELLAS
A45C	PURSES; LUGGAGE; HAND CARRIED BAGS 
A45D	HAIRDRESSING OR SHAVING EQUIPMENT; MANICURING OR OTHER COSMETIC TREATMENT 
A45F	TRAVELLING OR CAMP EQUIPMENT: SACKS OR PACKS CARRIED ON THE BODY
A46B	BRUSHES 
A46D	MANUFACTURE OF BRUSHES
A47B	TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE 
A47C	CHAIRS ; SOFAS; BEDS 
A47D	FURNITURE SPECIALLY ADAPTED FOR CHILDREN 
A47F	SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE; PAYING COUNTERS
A47G	HOUSEHOLD OR TABLE EQUIPMENT 
A47H	FURNISHINGS FOR WINDOWS OR DOORS 
A47J	KITCHEN EQUIPMENT ; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES 
A47K	SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR ; TOILET ACCESSORIES 
A47L	DOMESTIC WASHING OR CLEANING ; SUCTION CLEANERS IN GENERAL 
A61B	DIAGNOSIS; SURGERY; IDENTIFICATION 
A61C	DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE 
A61D	VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS
A61F	FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS 
A61G	TRANSPORT OR ACCOMODATION FOR PATIENTS; OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES 
A61H	PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY 
A61J	CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORT
A61K	PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES 
A61L	METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR
A61M	DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR
A61N	ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY 
A61Q	SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS
A62B	DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING ; B64D17/00, B64D25/10
A62C	FIRE-FIGHTING 
A62D	CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS
A63B	APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT 
A63C	SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE 
A63D	BOWLING-ALLEYS; BOWLING GAMES; BOCCIA; BOWLS; BAGATELLE; BILLIARDS 
A63F	CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR
A63G	MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES; CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT
A63H	TOYS, e.g. TOPS, DOLLS, HOOPS, BUILDING BLOCKS
A63J	DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE; CONJURING APPLIANCES OR THE LIKE
A63K	RACING; RIDING SPORTS; EQUIPMENT OR ACCESSORIES THEREFOR 
B01B	BOILING; BOILING APPARATUS; ; EVAPORATION; EVAPORATION APPARATUS
B01D	SEPARATION 
B01F	MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING 
B01J	CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS 
B01L	CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE 
B02B	PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE 
B02C	CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL; MILLING GRAIN 
B03B	SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS 
B03C	MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS 
B03D	FLOTATION; DIFFERENTIAL SEDIMENTATION 
B04B	CENTRIFUGES 
B04C	APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES 
B05B	SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES 
B05C	APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL 
B05D	PROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL 
B06B	METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, ; e.g.;  FOR PERFORMING MECHANICAL WORK IN GENERAL ;  H04R
B07B	SEPERATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, OR SIFTING OR BY USING GAS CURRENTS; OTHER SEPARATING BY DRY METHODS APPLICABLE TO BULK MATERIAL, e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL 
B07C	POSTAL SORTING; SORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKING 
B08B	CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL 
B09B	DISPOSAL OF SOLID WASTE
B09C	RECLAMATION OF CONTAMINATED SOIL 
B21B	ROLLING OF METAL 
B21C	MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES OR PROFILES, OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL
B21D	WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL 
B21F	WORKING OR PROCESSING OF METAL WIRE 
B21G	MAKING NEEDLES, PINS OR NAILS OF METAL
B21H	MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS 
B21J	FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES 
B21K	MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS 
B21L	MAKING METAL CHAINS 
B22C	FOUNDRY MOULDING 
B22D	CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES 
B22F	WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER 
B23B	TURNING; BORING 
B23C	MILLING 
B23D	PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR 
B23F	MAKING GEARS OR TOOTHED RACKS 
B23G	THREAD CUTTING; WORKING OF SCREWS, BOLT HEADS, OR NUTS, IN CONJUNCTION THEREWITH 
B23H	WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL; SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL 
B23K	SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING; WORKING BY LASER BEAM 
B23P	OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS 
B23Q	DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING ; MACHINE TOOLS IN GENERAL CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NO
B24B	MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING ; DRESSING OR CONDITIONING OF ABRADING SURFACES; FEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS
B24C	ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
B24D	TOOLS FOR GRINDING, BUFFING, OR SHARPENING 
B25B	
B25C	HAND-HELD NAILING OR STAPLING TOOLS; MANUALLY OPERATED PORTABLE STAPLING TOOLS 
B25D	PERCUSSIVE TOOLS 
B25F	COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR; DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR 
B25G	HANDLES FOR HAND IMPLEMENTS 
B25H	WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK; STORAGE MEANS FOR WORKSHOPS 
B25J	MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES 
B26B	HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR 
B26D	CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING 
B26F	PERFORATING; PUNCHING; CUTTING-OUT; STAMPING-OUT; SEVERING BY MEANS OTHER THAN CUTTING 
B27B	SAWS FOR WOOD OR SIMILAR MATERIAL; COMPONENTS OR ACCESSORIES THEREFOR 
B27C	PLANING, DRILLING, MILLING, TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL 
B27D	WORKING VENEER OR PLYWOOD 
B27F	DOVETAILED WORK; TENONS; SLOTTING MACHINES FOR WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES 
B27G	ACCESSORY MACHINES OR APPARATUS; TOOLS; SAFETY DEVICES, e.g. THOSE FOR SAWS 
B27H	BENDING WOOD OR SIMILAR MATERIAL; COOPERAGE; MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL
B27J	MECHANICAL WORKING OF CANE, CORK, OR SIMILAR MATERIALS
B27K	PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING, STAINING, DYEING, BLEACHING OF WOOD OR SIMILAR MATERIALS, OR TREATING OF WOOD OR SIMILAR MATERIALS WITH PERMEANT LIQUIDS, NOT OTHERWISE PROVIDED FOR ; CHEMICAL OR PHYSICAL TREATMENT OF CORK,
B27L	REMOVING BARK OR VESTIGES OF BRANCHES ; SPLITTING WOOD; MANUFACTURE OF VENEER, WOODEN STICKS, WOOD SHAVINGS, WOOD FIBRES OR WOOD POWDER
B27M	WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27B - B27L; MANUFACTURE OF SPECIFIC WOODEN ARTICLES
B27N	MANUFACTURE BY DRY PROCESSES OF ARTICLES, WITH OR WITHOUT ORGANIC BINDING AGENTS, MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL 
B28B	SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS, SLAG, OR MIXTURES CONTAINING CEMENTITIOUS MATERIAL, e.g. PLASTER 
B28C	PREPARING CLAY; PRODUCING MIXTURES CONTAINING CLAY OR CEMENTITIOUS MATERIAL, e.g. PLASTER 
B28D	WORKING STONE OR STONE-LIKE MATERIALS
B29B	PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS
B29C	SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING 
B29D	PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE 
B29K	INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS
B29L	INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES
B30B	PRESSES IN GENERAL 
B31B	MAKING CONTAINERS OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER 
B31C	MAKING WOUND ARTICLES, e.g. WOUND TUBES, OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER
B31D	MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER, NOT PROVIDED FOR IN SUBCLASSES B31B OR B31C 
B31F	MECHANICAL WORKING OR DEFORMATION OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER 
B32B	
B33Y	
